CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE,Another NEW Predicated Delivery Date
CAAU5565328,YM MODESTY,,,"Savannah, Georgia, United States","Abu Dhabi, Abu Zaby, United Arab Emirates",,3/17/2021,3/17/2021,5/6/2021,,,4/21/2021,,,?
DFSU6262531,COSCO EUROPE,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Long Beach, California, United States",8/17/2020,8/20/2020,9/22/2020,9/24/2020,10/9/2020,4/21/2021,,,?
OOLU9742970,OOCL SOUTHAMPTON,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",4/2/2021,4/7/2021,4/26/2021,,5/13/2021,5/6/2021,,,?
SUDU6751456,SEALAND MICHIGAN,,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Melbourne, State of Victoria, Australia","Melbourne, State of Victoria, Australia",3/30/2021,4/7/2021,5/1/2021,,5/18/2021,4/21/2021,,,?
TCLU5638700,MOL GARLAND,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Semarang, Provinsi Jawa Tengah, Indonesia","Semarang, Provinsi Jawa Tengah, Indonesia",3/31/2021,4/4/2021,4/23/2021,4/25/2021,5/10/2021,4/21/2021,,,?
OOCU8462069,OOCL ITALY,,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Sydney, State of New South Wales, Australia","Sydney, State of New South Wales, Australia",2/20/2021,2/23/2021,3/11/2021,3/15/2021,3/19/2021,4/21/2021,,,?
TCNU1116710,SANTA CLARA,,"Cape Town, Western Cape, South Africa","Cape Town, Western Cape, South Africa","Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands",3/16/2021,3/20/2021,4/9/2021,,4/26/2021,4/21/2021,,,?
KKFU7753318,ONE AQUILA,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",10/10/2020,10/15/2020,11/21/2020,12/10/2020,12/14/2020,4/21/2021,,,?
MRKU0349228,MP THE MCGINEST,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Oakland, California, United States","Oakland, California, United States",1/23/2021,1/29/2021,2/25/2021,,3/14/2021,4/21/2021,,,?
OOLU7819414,COSCO PORTUGAL,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Long Beach, California, United States",4/11/2021,4/14/2021,4/29/2021,5/3/2021,5/7/2021,4/21/2021,,,?
FFAU3149412,LOUISA SCHULTE,,"DA CHAN BAY, , China","DA CHAN BAY, , China","Fremantle, State of Western Australia, Australia","Fremantle, State of Western Australia, Australia",4/26/2021,4/30/2021,5/18/2021,5/19/2021,6/4/2021,4/21/2021,,,?
OOCU7687800,COSCO ENGLAND,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",3/30/2021,4/5/2021,4/20/2021,4/27/2021,5/1/2021,4/21/2021,,,?
CSNU8026980,COSCO SHIPPING DENALI,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/23/2021,5/7/2021,5/23/2021,6/16/2021,6/20/2021,6/20/2021,,,?
EGHU9080191,,Axiom,,,,,,,,,,7/26/2021,Yes,7/8/2021,?
FFAU2111752,,Axiom,,,,"Dallas, Texas, United States",,,,6/29/2021,6/29/2021,7/5/2021,Yes,7/6/2021,?
MSMU7119127,MSC APOLLO,"Eastrong International Logistics Co., Ltd Shenzhen Branch","Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",7/13/2021,7/14/2021,8/30/2021,9/10/2021,9/14/2021,9/14/2021,Yes,9/2/2021,?
FSCU7147456,HANOVER EXPRESS,,,"Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",3/25/2021,3/25/2021,4/29/2021,5/12/2021,5/12/2021,5/24/2021,,,?
KOCU4113249,ONE CONTRIBUTION,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",4/23/2021,4/25/2021,5/25/2021,5/26/2021,6/11/2021,5/24/2021,,,?
TCLU2237303,RIO GRANDE EXPRESS,,,"Houston, Texas, United States","Paramaribo, Paramaribo District, Suriname",,3/22/2021,3/22/2021,4/23/2021,,,4/21/2021,,,?
UACU5731535,FOS EXPRESS,,,"Houston, Texas, United States","Chennai, State of Tamil Nadu, India",,3/12/2021,3/12/2021,5/18/2021,,,4/21/2021,,,?
TCLU5938441,NYK ROMULUS,,"Long Beach, California, United States","Los Angeles, California, United States","Contecar, Departamento de Bolivar, Colombia","Cartagena, Departamento de Bolivar, Colombia",6/10/2021,6/19/2021,7/16/2021,7/17/2021,8/2/2021,6/14/2021,Yes,5/13/2021,?
TCLU7876550,MSC ARIANE,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",3/19/2021,3/20/2021,5/20/2021,5/24/2021,5/28/2021,6/14/2021,,,?
OOLU7743290,TORONTO EXPRESS,,"Antwerpen, Flanders, Belgium","Antwerpen, Flanders, Belgium","Montreal, Quebec, Canada","Montreal, Quebec, Canada",12/7/2020,12/14/2020,12/26/2020,12/29/2020,1/12/2021,4/21/2021,,,?
OOCU7505119,CMA CGM MONTMARTRE,,"Klaipeda, Klaipeda County, Lithuania","Klaipeda, Klaipeda County, Lithuania","Pelabuhan Klang, Selangor, Malaysia","Pelabuhan Klang, Selangor, Malaysia",4/21/2021,4/27/2021,6/1/2021,6/1/2021,6/18/2021,4/21/2021,,,?
FSCU8900250,CMA CGM JACQUES JUNIOR,,"Puerto Nuevo, Buenos Aires, Argentina","Puerto Nuevo, Buenos Aires, Argentina","Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China",5/7/2019,5/9/2019,6/28/2019,7/4/2019,7/4/2019,4/21/2021,,,?
OOLU9428450,OOCL INDONESIA,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Gdansk, Wojewodztwo Pomorskie, Poland","Gdansk, Wojewodztwo Pomorskie, Poland",4/8/2021,4/11/2021,5/11/2021,5/14/2021,5/28/2021,4/21/2021,,,?
CSNU6053902,COSCO ASIA,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Long Beach, California, United States",8/13/2020,8/13/2020,9/14/2020,9/16/2020,10/1/2020,4/21/2021,,,?
OOLU8782916,OOCL LONDON,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",3/28/2021,4/7/2021,4/20/2021,,5/7/2021,5/6/2021,,,?
OOLU9958363,OOCL NAGOYA,,"Bangkok, Bangkok, Thailand","Laem Chabang, Changwat Chon Buri, Thailand","Tokyo, Tokyo Prefecture, Japan","Tokyo, Tokyo Prefecture, Japan",4/1/2021,4/9/2021,4/19/2021,,5/6/2021,4/21/2021,,,?
NYKU5138584,ACX PEARL,,"Tokyo, Tokyo Prefecture, Japan","Tokyo, Tokyo Prefecture, Japan","Laem Chabang, Changwat Chon Buri, Thailand","Laem Chabang, Changwat Chon Buri, Thailand",3/25/2021,4/1/2021,4/12/2021,4/19/2021,4/19/2021,4/21/2021,,,?
MSCU4492395,MSC OLIVER,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",12/21/2020,12/21/2020,2/21/2021,2/25/2021,3/1/2021,4/21/2021,,,?
OOCU8242568,YM CERTAINTY,,"Laem Chabang, Changwat Chon Buri, Thailand","Laem Chabang, Changwat Chon Buri, Thailand","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",4/19/2021,4/22/2021,5/1/2021,5/1/2021,5/18/2021,4/21/2021,,,?
DFSU7568906,OOCL LONDON,,"Long Beach, California, United States","Long Beach, California, United States","Ningbo, Zhejiang Sheng, China","Taicang, Jiangsu Sheng, China",9/18/2020,9/23/2020,10/11/2020,12/7/2020,12/7/2020,4/21/2021,,,?
OOCU8476205,COSCO KAOHSIUNG,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Kiamari, Sindh, Pakistan","Kiamari, Sindh, Pakistan",1/26/2021,2/9/2021,2/28/2021,3/5/2021,3/9/2021,4/21/2021,,,?
TCLU8071333,UNAYZAH,,,"Valencia, Comunitat Valenciana, Spain","Huangpu, Guangdong Sheng, China",,2/19/2021,2/19/2021,4/9/2021,,,4/21/2021,,,?
TRLU7374294,ESSENCE,,"Gijon, Principality of Asturias, Spain","Gijon, Principality of Asturias, Spain","Pelabuhan Klang, Selangor, Malaysia","Pelabuhan Klang, Selangor, Malaysia",2/17/2021,2/17/2021,4/10/2021,4/13/2021,4/27/2021,4/21/2021,,,?
MSDU7030711,SPIRIT OF MUMBAI,,"Chennai, State of Tamil Nadu, India","Ennore, State of Tamil Nadu, India","Savannah, Georgia, United States","Savannah, Georgia, United States",2/28/2021,3/3/2021,4/30/2021,,5/17/2021,4/21/2021,,,?
OOCU7905141,OOCL BELGIUM,,"Jebel Ali, Dubai, United Arab Emirates","Jebel Ali, Dubai, United Arab Emirates","Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China",4/27/2021,4/28/2021,5/23/2021,5/23/2021,6/9/2021,4/21/2021,,,?
TCNU4201190,HYUNDAI JUPITER,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Los Angeles, California, United States",3/25/2021,4/5/2021,4/21/2021,,5/8/2021,4/21/2021,,,?
CSNU7631733,COSCO AFRICA,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",4/4/2021,4/19/2021,5/3/2021,5/11/2021,5/15/2021,4/21/2021,,,?
TCKU7503100,SUI GANG 902,,"Huangpu, Guangdong Sheng, China","Huangpu, Guangdong Sheng, China","Memphis, Tennessee, United States","Smyrna, Tennessee, United States",2/7/2021,2/7/2021,4/8/2021,,4/25/2021,4/21/2021,,,?
SEGU4249562,CSCL ARCTIC OCEAN,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Felixstowe, England, United Kingdom","Felixstowe, England, United Kingdom",4/15/2021,4/18/2021,5/12/2021,5/14/2021,5/29/2021,4/21/2021,,,?
OOCU7821689,CMA CGM TOSCA,,"Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands","New York City, New York, United States","New York City, New York, United States",2/22/2021,3/10/2021,3/21/2021,3/23/2021,4/7/2021,4/21/2021,,,?
OOLU4517431,OOCL AUSTRALIA,,"Jakarta, Daerah Khusus Ibukota Jakarta, Indonesia","Jakarta, Daerah Khusus Ibukota Jakarta, Indonesia","Kobe, Hyogo, Japan","Kobe, Hyogo, Japan",4/8/2021,4/10/2021,4/24/2021,4/25/2021,5/11/2021,4/21/2021,,,?
FFAU2166890,COSCO OCEANIA,,"Wuhu, Anhui Sheng, China","Wuhu, Anhui Sheng, China","Jawaharlal Nehru, State of Maharashtra, India","Mumbai, State of Maharashtra, India",2/15/2021,2/16/2021,4/1/2021,4/19/2021,4/23/2021,4/21/2021,,,?
OOLU6982983,COSCO SHIPPING ANDES,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/5/2021,4/14/2021,5/3/2021,6/8/2021,6/12/2021,6/14/2021,Yes,6/11/2021,?
OOLU8623154,OOCL TOKYO,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/23/2021,4/26/2021,5/14/2021,6/9/2021,6/13/2021,7/12/2021,Yes,6/18/2021,?
OOCU7420752,GDYNIA TRADER,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",4/18/2021,4/24/2021,6/10/2021,6/23/2021,6/23/2021,6/29/2021,Yes,6/29/2021,?
OOLU6890568,OOCL TOKYO,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",4/25/2021,5/2/2021,5/14/2021,6/11/2021,6/15/2021,6/20/2021,Yes,6/16/2021,?
CAAU5864294,MSC FLAVIA,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",3/31/2021,4/1/2021,7/7/2021,7/4/2021,7/24/2021,7/8/2021,Yes,7/10/2021,?
OOCU8024252,COSCO SHIPPING ANDES,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",5/21/2021,6/5/2021,6/24/2021,7/7/2021,7/11/2021,7/12/2021,Yes,7/13/2021,?
TCNU5477809,CSCL SPRING,,"Wuhu, Anhui Sheng, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2/19/2021,3/10/2021,4/6/2021,4/21/2021,4/25/2021,4/21/2021,,,?
MRKU4370856,VISTULA MAERSK,,"Saint Petersburg, Sankt-Peterburg, Russia","Saint Petersburg, Sankt-Peterburg, Russia","Tema, Greater Accra Region, Ghana","Tema, Greater Accra Region, Ghana",2/14/2021,2/14/2021,3/25/2021,,4/11/2021,4/21/2021,,,?
OOLU7778146,WARNOW MASTER,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Cruz de Pau, Distrito do Porto, Portugal","Cruz de Pau, Distrito do Porto, Portugal",4/16/2021,4/21/2021,6/4/2021,6/5/2021,6/21/2021,4/21/2021,,,?
FSCU5088694,CSCL SOUTH CHINA SEA,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Prince Rupert, British Columbia, Canada","Elwood, Illinois, United States",11/8/2019,11/9/2019,12/11/2019,12/18/2019,12/22/2019,4/21/2021,,,?
MEDU8239421,MAERSK EDMONTON,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",1/14/2021,1/14/2021,3/30/2021,4/2/2021,4/16/2021,4/21/2021,,,?
OOCU7792111,XIN YUAN 19,,"Fuqing, Fujian Sheng, China","Fuqing, Fujian Sheng, China","Savannah, Georgia, United States","Forest Park, Georgia, United States",3/2/2021,3/5/2021,4/20/2021,,5/7/2021,4/21/2021,,,?
KKTU8035053,NORDPUMA,,"Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam","Kaohsiung, Kaohsiung, Taiwan","Keelung, Taiwan, Taiwan",3/11/2021,3/18/2021,3/20/2021,4/13/2021,4/17/2021,4/21/2021,,,?
TLLU4428950,COSCO TAICANG,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Long Beach, California, United States",7/18/2019,7/19/2019,8/12/2019,8/13/2019,8/29/2019,4/21/2021,,,?
HLBU2172554,ALS MARS,,,"Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",1/13/2021,1/13/2021,2/27/2021,3/11/2021,3/11/2021,4/21/2021,,,?
OOLU9578785,COSCO ENGLAND,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",3/30/2021,4/4/2021,4/19/2021,4/25/2021,4/29/2021,4/21/2021,,,?
MRKU0250596,MAERSK HANGZHOU,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",2/1/2021,2/6/2021,4/2/2021,,4/19/2021,4/21/2021,,,?
UETU5498650,COSCO SHIPPING AQUARIUS,,"Yingkou, Liaoning Sheng, China","Yingkou, Liaoning Sheng, China","Huangpu, Guangdong Sheng, China","Huangpu, Guangdong Sheng, China",3/15/2018,3/17/2018,3/31/2018,4/5/2018,4/9/2018,4/21/2021,,,?
TCNU3184735,MAERSK ESMERALDAS,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",4/16/2021,4/17/2021,5/18/2021,,6/4/2021,5/24/2021,,,?
OOCU7280373,OOCL PANAMA,,"Melbourne, State of Victoria, Australia","Melbourne, State of Victoria, Australia","Pelabuhan Klang, Selangor, Malaysia","Pelabuhan Klang, Selangor, Malaysia",12/13/2020,12/21/2020,1/4/2021,1/7/2021,1/21/2021,4/21/2021,,,?
OOCU8187368,CMA CGM TOSCA,,"Oberderdingen, Baden-Wuerttemberg, Germany","Rotterdam, Provincie Zuid-Holland, Netherlands","Savannah, Georgia, United States","Newnan, Georgia, United States",3/29/2021,4/20/2021,5/4/2021,5/5/2021,5/21/2021,4/21/2021,,,?
FFAU3031013,CSCL WINTER,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States",,3/5/2021,3/7/2021,4/14/2021,,5/1/2021,4/21/2021,,,?
CCLU4563489,COSCO SHIPPING ALPS,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China",,,3/26/2021,3/28/2021,,,,4/21/2021,,,?
OOCU7104712,COSCO NETHERLANDS,,"Long Beach, California, United States","Long Beach, California, United States","Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam",2/2/2021,2/9/2021,3/14/2021,3/18/2021,3/18/2021,4/21/2021,,,?
EITU9210660,,Axiom,,,,,,,,,,7/22/2021,Yes,8/4/2021,?
BSIU9604800,CSCL AUTUMN,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Prince Rupert, British Columbia, Canada","Indianapolis, Indiana, United States",7/26/2019,7/28/2019,8/29/2019,9/13/2019,9/17/2019,4/21/2021,,,?
TCNU3736393,JUDITH SCHULTE,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Long Beach, California, United States",10/20/2020,10/22/2020,11/18/2020,11/24/2020,11/28/2020,4/21/2021,,,?
CAIU4585847,MSC DANIT,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",4/10/2021,4/16/2021,5/24/2021,5/25/2021,6/10/2021,5/24/2021,,,?
EISU8219660,,Axiom,,,,,,,,,,8/13/2021,,,?
OOLU9997170,NAVIOS CONSTELLATION,CIF,"Dallas, Texas, United States","Savannah, Georgia, United States","Port Muhammad Bin Qasim, Sindh, Pakistan","Port Muhammad Bin Qasim, Sindh, Pakistan",7/16/2021,7/28/2021,9/9/2021,7/8/2021,7/8/2021,8/24/2021,Yes,7/14/2021,?
FDCU0598720,HYUNDAI SPLENDOR,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",4/8/2021,4/18/2021,5/4/2021,5/15/2021,5/19/2021,5/28/2021,Yes,5/18/2021,?
KKFU7790482,ONE CONTINUITY,,"Mumbai, State of Maharashtra, India","Jawaharlal Nehru, State of Maharashtra, India","Los Angeles, California, United States","Long Beach, California, United States",3/15/2021,3/23/2021,5/8/2021,5/11/2021,5/25/2021,5/24/2021,Yes,5/26/2021,?
UACU8279500,YINGHAI29,,,"Fuzhou, Fujian Sheng, China","Los Angeles, California, United States",,1/27/2021,1/27/2021,4/3/2021,,,4/21/2021,,,?
CMAU5575846,OOCL BERLIN,,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","New York City, New York, United States",,4/16/2021,4/17/2021,5/27/2021,,6/13/2021,5/4/2021,,,?
TRHU7024620,HYUNDAI COURAGE,CIF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",4/1/2021,4/9/2021,4/27/2021,5/3/2021,5/7/2021,5/26/2021,Yes,5/6/2021,?
CSNU6405161,APL VANDA,,"Le Havre, Normandie, France","Le Havre, Normandie, France","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",5/10/2019,5/13/2019,6/22/2019,6/26/2019,6/26/2019,4/21/2021,,,?
OOLU7272477,OOCL TAIPEI,,"Dallas, Texas, United States","Long Beach, California, United States","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",12/28/2020,1/10/2021,1/31/2021,2/3/2021,2/17/2021,4/21/2021,,,?
CBHU7047634,COSCO SHIPPING VIRGO,,"Gwangyang, Jeollanam-do, South Korea","Gwangyang, Jeollanam-do, South Korea","Piraeus, Attica, Greece","Piraeus, Attica, Greece",1/28/2020,1/29/2020,3/3/2020,3/4/2020,3/20/2020,4/21/2021,,,?
BMOU4390634,COSCO SHIPPING VIRGO,,"Doel, Flanders, Belgium","Antwerpen, Flanders, Belgium","Manila, Metro Manila, Philippines","Manila, National Capital Region, Philippines",5/19/2020,5/26/2020,7/27/2020,8/13/2020,8/13/2020,4/21/2021,,,?
ONEU0295675,ONE COMMITMENT,,"Dallas, Texas, United States","Los Angeles, California, United States","Singapore, , Singapore","Singapore, , Singapore",5/19/2021,6/24/2021,7/17/2021,7/17/2021,8/3/2021,5/24/2021,,,?
OOCU7212907,OOCL TAIPEI,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/16/2021,4/20/2021,5/11/2021,6/3/2021,6/7/2021,6/26/2021,Yes,6/9/2021,?
KKFU7813295,YM WHOLESOME,LF,"Dallas, Texas, United States","Long Beach, California, United States","Karachi, Sindh, Pakistan","Karachi, Sindh, Pakistan",7/15/2021,8/9/2021,9/22/2021,7/4/2021,10/9/2021,7/26/2021,Yes,7/13/2021,?
BMOU5516460,COSCO ITALY,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/28/2021,5/14/2021,5/29/2021,6/17/2021,6/21/2021,7/30/2021,Yes,6/22/2021,?
CSLU6112320,COSCO ITALY,CIF,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",6/13/2021,7/5/2021,8/4/2021,8/10/2021,8/14/2021,8/16/2021,Yes,8/16/2021,?
CAAU5727856,EVER LISSOME,Axiom,"Dallas, Texas, United States","Los Angeles, California, United States","Taipei, Taiwan, Taiwan","Taichung, Taiwan, Taiwan",8/11/2021,8/11/2021,8/26/2021,,9/12/2021,8/7/2021,Yes,7/6/2021,?
OOCU7795954,COSCO SHIPPING DENALI,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Long Beach, California, United States",8/18/2020,8/21/2020,9/15/2020,9/18/2020,10/2/2020,5/6/2021,,,?
OOCU8195698,OOCL TAIPEI,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",4/18/2021,4/23/2021,5/11/2021,,5/28/2021,6/7/2021,Yes,6/11/2021,?
EGSU9086188,ST EVER,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",4/29/2021,4/29/2021,6/14/2021,7/9/2021,7/13/2021,6/7/2021,,,?
FSCU9319554,NSC KINGSTON,,"Surabaya, Jawa Timur, Indonesia","Surabaya, Jawa Timur, Indonesia","Pelabuhan Klang, Selangor, Malaysia","Klang, Selangor, Malaysia",10/2/2019,10/3/2019,10/15/2019,10/24/2019,10/24/2019,4/21/2021,,,?
CAXU7236136,MARIT MAERSK,,"Gdansk, Wojewodztwo Pomorskie, Poland","Gdansk, Wojewodztwo Pomorskie, Poland","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",3/16/2021,3/16/2021,5/14/2021,,5/31/2021,4/21/2021,,,?
OOCU8370872,HAIAN PARK,,"Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam","Vancouver, British Columbia, Canada","Toronto, Ontario, Canada",4/3/2021,4/4/2021,5/9/2021,5/17/2021,5/21/2021,4/21/2021,,,?
